,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_hog_extractor__color_space,param_hog_extractor__hist_feat,param_hog_extractor__hog_channel,param_hog_extractor__spatial_feat,params,rank_test_score,split0_test_score,split0_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
79,54.20391798019409,16.212793111801147,0.9931178310740355,1.0,YCrCb,True,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'YCrCb'}",1,0.9931178310740355,1.0,0.0,0.0,0.0,0.0
63,55.67017602920532,16.85678505897522,0.9929092805005214,1.0,YUV,True,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'YUV'}",2,0.9929092805005214,1.0,0.0,0.0,0.0,0.0
78,47.93632698059082,15.954671144485474,0.9922836287799791,1.0,YCrCb,True,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'YCrCb'}",3,0.9922836287799791,1.0,0.0,0.0,0.0,0.0
62,49.44910907745361,15.638412952423096,0.9920750782064651,1.0,YUV,True,ALL,False,"{'hog_extractor__spatial_feat': False, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'YUV'}",4,0.9920750782064651,1.0,0.0,0.0,0.0,0.0
55,39.58337688446045,13.942270040512085,0.991866527632951,1.0,YUV,False,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'YUV'}",5,0.991866527632951,1.0,0.0,0.0,0.0,0.0
31,46.52182483673096,16.95466113090515,0.9912408759124087,1.0,LUV,True,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'LUV'}",6,0.9912408759124087,1.0,0.0,0.0,0.0,0.0
71,53.86617302894592,13.940293073654175,0.9910323253388947,1.0,YCrCb,False,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'YCrCb'}",7,0.9910323253388947,1.0,0.0,0.0,0.0,0.0
23,39.473803997039795,14.250666856765747,0.9908237747653806,1.0,LUV,False,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'LUV'}",8,0.9908237747653806,1.0,0.0,0.0,0.0,0.0
39,40.0065381526947,14.750598907470703,0.9906152241918665,1.0,HLS,False,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': False, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'HLS'}",9,0.9906152241918665,1.0,0.0,0.0,0.0,0.0
47,47.856231927871704,18.440157175064087,0.9904066736183524,1.0,HLS,True,ALL,True,"{'hog_extractor__spatial_feat': True, 'hog_extractor__hist_feat': True, 'hog_extractor__hog_channel': 'ALL', 'hog_extractor__color_space': 'HLS'}",10,0.9904066736183524,1.0,0.0,0.0,0.0,0.0
